ciclo,ccaa,prov,nvivi,nivel,npers,edad5,relpp1,sexo1,ncony,npadre,nmadre,rellmili,eciv1,prona1,regna1,nac1,exregna1,anore1,nforma2,rellb,edadest,cursr,ncursr2,cursnr,ncurnr2,hcurnr,rellb,trarem,ayudfa,ausent,rznotb,vincul,nuevem,ocup1,act11,situ,sp,ducon1,ducon2,ducon3,tcontm,tcontd,dren,dcom,proest,regest,parco1,parco2,horasp,horash,horase,extra,extpag,extnpg,rzdifh,traplu,ocuplu1,actplu11,sitplu,horplu,mashor,dismas,rzndish,hordes,busotr,busca,desea,fobact,nbusca,asala,embus,itbu,disp,rzndis,empant,dtant,ocupa,acta1,situa,ofemp,sidi1,sidi2,sidi3,sidac1,sidac2,mun1,prore1,repaire1,traant,aoi,cse,factorel,factorel
178,1,18,20667,1,1,35,1,1,2,0,0,,1,18,,1,,,SP,,18,3,,3,,,,1,,,,,,9,1,8,,1,1,,,,180,192,18,,1,,4000,4000,6000,6,,,17,6,,,,,3,,,,6,,,,,,,,,,,,,,,3,,,,1,1,1,,,1,4,17,22471,
178,1,18,20667,1,2,30,2,6,1,0,0,,1,4,,1,,,S1,,16,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,3,7,1,,1,20,,,,1,3,,,2,2,1,,,6,6,,22471,
178,1,18,20667,2,3,5,3,1,0,1,2,,,18,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,27841,
178,1,18,20667,2,4,0,3,1,0,1,2,,,18,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,31633,
178,1,18,20668,1,1,60,1,1,2,0,0,,2,18,,1,,,P2,,22,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,7,,,,6,4,1,152,,,,3,2,,,,,1,,,6,9,,17599,
178,1,18,20668,1,2,60,2,6,1,0,0,,2,18,,1,,,P1,,13,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,5,,,,6,2,1,372,,,,2,3,,,,,1,,,6,9,,17599,
178,1,18,20669,1,1,65,1,6,0,0,0,,3,6,,1,,,S1,,52,3,,3,,,,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,3,5,,,,1,,,6,9,,18011,
178,1,18,20669,1,2,45,3,1,0,0,1,,4,18,,1,,,SG,,17,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,3,,,,6,3,1,274,,,,3,4,5,,,,1,,,6,9,,18011,
178,1,18,20670,1,1,65,1,6,2,0,0,,2,18,,1,,,AN,,,3,,3,,,,6,6,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,8,,,,6,4,1,132,,,,3,4,5,,,,1,,,6,9,,16149,
178,1,18,20670,1,2,65,2,1,1,0,0,,2,18,,1,,,AN,,,3,,3,,,,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,232,,,,,4,5,,,,1,,,6,9,,16149,
